pop1,pop2,w_bSp,GenDistv2,ColorDist,GeodesicDist,GenDist_v3_SNP_pc1_2,GeodesicDist_km
CHCL,CLA,within,0.0361,2.075518677,240689.2388,0.011334127,240.6892388
CHCL,CMSC,within,0.0326,23.69596778,335273.2184,0.052622553,335.2732184
CHCL,CQL,within,0.0346,20.6262508,201880.1712,0.014208857,201.8801712
CHCL,LMN,between,0.0367,135.972534,205580.2842,0.077915869,205.5802842
CHCL,LRR,between,0.036,140.3327904,194615.661,0.071132891,194.615661
CHCL,LVH,between,0.0379,163.9530353,233602.5573,0.092657628,233.6025573
CHCL,PCM,between,0.0386,196.0670095,351971.0653,0.118278444,351.9710653
CHCL,PMT,between,0.0363,172.5447478,175906.3888,0.092023787,175.9063888
CHCL,PTH,between,0.0325,200.0652699,238115.2662,0.071460118,238.1152662
CHCL,PTMS,between,0.0449,202.7101105,593910.9994,0.151782495,593.9109994
CLA,CMSC,within,0.0327,24.51924414,109611.9298,0.063857637,109.6119298
CLA,CQL,within,0.0302,21.36833067,64416.87729,0.02286753,64.41687729
CLA,LMN,between,0.0341,135.2024901,282100.6114,0.075177147,282.1006114
CLA,LRR,between,0.0339,139.5294969,349031.373,0.070844067,349.031373
CLA,LVH,between,0.0341,163.2317541,388574.8114,0.08926376,388.5748114
CLA,PCM,between,0.0349,196.0436856,204693.9004,0.116886096,204.6939004
CLA,PMT,between,0.0334,172.3708728,216693.3358,0.086149202,216.6933358
CLA,PTH,between,0.0298,200.1416943,152443.9977,0.069773121,152.4439977
CLA,PTMS,between,0.0366,202.8259051,356821.7266,0.150094678,356.8217266
CMSC,CQL,within,0.0308,3.5,173393.6025,0.043729503,173.3936025
CMSC,LMN,between,0.0327,142.8538025,390726.0812,0.10111058,390.7260812
CMSC,LRR,between,0.0341,146.4212073,458438.7769,0.086751017,458.4387769
CMSC,LVH,between,0.0331,169.7173762,498134.3522,0.116001025,498.1343522
CMSC,PCM,between,0.0354,189.4081894,266303.2194,0.130654929,266.3032194
CMSC,PMT,between,0.0334,167.7627756,325513.2433,0.124390419,325.5132433
CMSC,PTH,between,0.0289,191.5136723,250840.2814,0.09217289,250.8402814
CMSC,PTMS,between,0.0385,196.431116,297077.386,0.162655519,297.077386
CQL,LMN,between,0.0327,142.5059102,217698.608,0.070682054,217.698608
CQL,LRR,between,0.0308,146.1509143,287002.2981,0.06146068,287.0022981
CQL,LVH,between,0.0327,169.5797813,325882.0433,0.085867742,325.8820433
CQL,PCM,between,0.0332,191.1447416,178640.517,0.108987682,178.640517
CQL,PMT,between,0.0332,169.1819895,152316.246,0.08842576,152.316246
CQL,PTH,between,0.0268,193.5070398,97175.68768,0.063227809,97.17568768
CQL,PTMS,between,0.0353,198.217703,393551.8455,0.142549809,393.5518455
LMN,LRR,within,0.0301,7.482135857,97872.56072,0.017017412,97.87256072
LMN,LVH,within,0.035,28.58921708,124134.7447,0.015289027,124.1347447
LMN,PCM,between,0.033,111.4595093,247805.6156,0.042674477,247.8056156
LMN,PMT,between,0.034,84.11472325,65459.62177,0.027747189,65.45962177
LMN,PTH,between,0.0292,125.4919475,157805.1838,0.009151315,157.8051838
LMN,PTMS,between,0.0304,118.3068562,559138.3735,0.075181468,559.1383735
LRR,LVH,within,0.031,24.58368031,41590.99708,0.029979107,41.59099708
LRR,PCM,between,0.0348,107.5208677,344841.6221,0.047527519,344.8416221
LRR,PMT,between,0.0334,80.2083464,145180.1515,0.044680005,145.1801515
LRR,PTH,between,0.0291,121.7420968,247678.4421,0.008775361,247.6784421
LRR,PTMS,between,0.0339,115.0868682,651548.0495,0.081089593,651.5480495
LVH,PCM,between,0.0354,101.5585491,371139.4052,0.032556299,371.1394052
LVH,PMT,between,0.033,77.31542178,179831.9212,0.021695542,179.8319212
LVH,PTH,between,0.0333,117.4608256,280219.8963,0.023858635,280.2198963
LVH,PTMS,between,0.0356,107.6261224,683026.4194,0.062712873,683.0264194
PCM,PMT,within,0.036,28.47388667,208613.4037,0.051468418,208.6134037
PCM,PTH,within,0.0318,17.04705905,114725.3968,0.047115775,114.7253968
PCM,PTMS,within,0.0341,17.65046427,320849.441,0.033569496,320.849441
PMT,PTH,within,0.0298,41.55641413,103167.5512,0.036238122,103.1675512
PMT,PTMS,within,0.0342,40.00015278,506848.7414,0.076862784,506.8487414
PTH,PTMS,within,0.0327,23.68564966,403889.2463,0.080440617,403.8892463
