pop1,pop2,group,morph,corolla,GenDistv2,ColorDist,GeodesicDist,GenDist_v3_SNP_pc1_2,GeodesicDist_km
SBK,SBL,divergent,pink,long,0.03384,78.91614877,412448.248,0.127808016,412.448248
SBK,SCL,divergent,pink,long,0.033341,63.03236382,390979.248,0.215676959,390.979248
SBK,SDC,divergent,pink,long,0.032667,56.38325064,861940.2995,0.291502077,861.9402995
SBK,SFP,divergent,pink,long,0.030109,146.1472773,1952179.191,0.410394299,1952.179191
SBK,SIC,divergent,pink,short,0.036465,16.88516772,66510.82355,0.068688362,66.51082355
SBK,SILB,divergent,pink,long,0.03316,118.5671633,1886474.452,0.511523107,1886.474452
SBK,SMAR,divergent,pink,long,0.033434,84.22370345,78076.82482,0.174182719,78.07682482
SBK,SMP,divergent,yellow,short,0.031385,159.3871109,284375.2283,0.184573586,284.3752283
SBK,SNG,divergent,pink,long,0.03181,109.612901,1752588.908,0.515432387,1752.588908
SBK,SOZ,divergent,pink,long,0.030386,61.43394827,111995.0363,0.078310961,111.9950363
SBK,SPB,divergent,pink,long,0.038497,56.56540953,1202092.986,0.364538014,1202.092986
SBK,SRS,divergent,pink,long,0.030489,77.04135974,1754046.996,0.385707459,1754.046996
SBK,SSC,divergent,pink,long,0.033403,118.1006445,1820044.794,0.456569937,1820.044794
SBK,SYH,divergent,pink,long,0.033282,59.32895465,301072.1675,0.145502682,301.0721675
SBL,SCL,typical,typical,long,0.034641,37.39828488,236757.6777,0.196574217,236.7576777
SBL,SDC,typical,typical,long,0.03363,37.6167231,494295.3544,0.252263287,494.2953544
SBL,SFP,typical,typical,long,0.030732,77.47211356,1662324.202,0.374654416,1662.324202
SBL,SIC,divergent,pink,short,0.034491,66.77235407,397768.8243,0.142023106,397.7688243
SBL,SILB,typical,typical,long,0.032085,52.68744886,1765209.331,0.46358425,1765.209331
SBL,SMAR,divergent,pink,long,0.039021,90.30606229,348921.0988,0.194069652,348.9210988
SBL,SMP,divergent,yellow,short,0.032331,89.58192737,352016.9552,0.238763604,352.0169552
SBL,SNG,typical,typical,long,0.028751,75.72490944,1625046.982,0.468109354,1625.046982
SBL,SOZ,divergent,pink,long,0.035471,81.8374335,407414.1397,0.191188787,407.4141397
SBL,SPB,typical,typical,long,0.031078,41.74226054,828684.6278,0.315973277,828.6846278
SBL,SRS,typical,typical,long,0.030505,45.45248135,1366473.897,0.342352174,1366.473897
SBL,SSC,typical,typical,long,0.032189,55.68518338,1604313.957,0.414137286,1604.313957
SBL,SYH,typical,typical,long,0.037214,44.64795184,145426.7012,0.024711445,145.4267012
SCL,SDC,typical,typical,long,0.039478,10.07289306,492510.0238,0.078145714,492.5100238
SCL,SFP,typical,typical,long,0.036209,114.0957249,1564639.913,0.194788493,1564.639913
SCL,SIC,divergent,pink,short,0.037609,51.90089916,341475.7069,0.277788268,341.4757069
SCL,SILB,typical,typical,long,0.042903,69.2127477,1571777.454,0.296289651,1571.777454
SCL,SMAR,divergent,pink,long,0.038526,102.0055881,366797.478,0.063820874,366.797478
SCL,SMP,divergent,yellow,short,0.037909,97.29433579,170636.4396,0.121056907,170.6364396
SCL,SNG,typical,typical,long,0.032727,65.45647621,1433179.739,0.300096156,1433.179739
SCL,SOZ,divergent,pink,long,0.0367,86.28798037,322431.6849,0.290948119,322.4316849
SCL,SPB,typical,typical,long,0.033181,10.58940771,827050.8205,0.151683964,827.0508205
SCL,SRS,typical,typical,long,0.031496,27.18972437,1383670.24,0.170707852,1383.67024
SCL,SSC,typical,typical,long,0.034362,73.73746975,1455025.261,0.240970376,1455.025261
SCL,SYH,typical,typical,long,0.042745,25.75291214,300507.1787,0.182285134,300.5071787
SDC,SFP,typical,typical,long,0.031019,115.0825287,1187992.302,0.12317275,1187.992302
SDC,SIC,divergent,pink,short,0.034158,43.73301212,823439.1673,0.350971597,823.4391673
SDC,SILB,typical,typical,long,0.031958,76.3054243,1440737.98,0.220260839,1440.73798
SDC,SMAR,divergent,pink,long,0.034206,92.75120159,816351.4184,0.138275829,816.3514184
SDC,SMP,divergent,yellow,short,0.030077,103.74408,658679.2417,0.186361985,658.6792417
SDC,SNG,typical,typical,long,0.028251,74.94484824,1301962.323,0.224284858,1301.962323
SDC,SOZ,divergent,pink,long,0.027414,76.59338734,811232.8093,0.367881417,811.2328093
SDC,SPB,typical,typical,long,0.034657,4.436071478,340388.6361,0.073625299,340.3886361
SDC,SRS,typical,typical,long,0.028863,36.37113586,893435.6652,0.094513069,893.4356652
SDC,SSC,typical,typical,long,0.028313,80.37393066,1190850.413,0.166324435,1190.850413
SDC,SYH,typical,typical,long,0.040056,17.43277632,639535.7474,0.233154698,639.5357474
SFP,SIC,divergent,pink,short,0.036078,136.1528308,1895910.939,0.472186106,1895.910939
SFP,SILB,typical,typical,long,0.029784,74.71411439,852965.4755,0.105616012,852.9654755
SFP,SMAR,divergent,pink,long,0.038807,125.9189554,1931086.809,0.24426183,1931.086809
SFP,SMP,divergent,yellow,short,0.029602,106.9702866,1680964.049,0.274875308,1680.964049
SFP,SNG,typical,typical,long,0.026424,123.0605328,802867.9782,0.108669157,802.8679782
SFP,SOZ,divergent,pink,long,0.029525,130.708654,1865950.23,0.484846143,1865.95023
