,ind,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,sp,gen,spp_gen,pop,reg2,morph,lat,long
1,KW_P-citrina_CCCB-54_S41,0.0890411,-0.0240378,-0.0202379,0.0779826,-0.058743,0.0069353,-0.00637552,0.016213,-0.00547343,0.0351159,0.00845409,0.00294012,0.0235614,-0.0101629,0.00765621,-0.00524857,-0.0142652,-0.041043,0.0340769,-0.00499899,C,Purp,Cit_Purp,CCCB,C,C,32.376764,-99.101297
2,KW_P-citrina_CCCD-98_S42,0.0825792,0.00819984,-0.0208416,0.0708627,-0.024284,-0.016715,0.0140287,0.0363078,0.00168381,0.0165309,-0.00239959,-0.0135183,-0.0355546,0.00987442,0.0323751,0.00172954,0.0379883,-0.0094168,0.0414919,0.0278369,C,Purp,Cit_Purp,CCCD,C,C,32.378011,-99.116538
3,KW_P-citrina_CED-3_S45,0.0480243,-0.0267138,-0.00811311,0.0503034,-0.040522,0.00584209,-0.0175107,-0.0182847,-0.00416003,-0.00264284,0.00419082,-0.00641928,0.0265912,-0.025647,-0.0268578,0.00122699,-0.00649841,-0.0197102,0.0762163,0.013341,C,Purp,Cit_Purp,CED,C,C,31.23331,-99.99277
4,KW_P-citrina_CFC-9_S33,0.0442019,0.0238141,0.0314141,0.108023,-0.0510585,0.00225219,-0.00278317,0.00491868,0.0387474,0.0282223,-0.0243927,0.054731,-0.028948,0.022871,0.0125669,-0.0333997,0.0202144,-0.0034973,-0.0366805,0.0255789,C,Purp,Cit_Purp,CFC,C,C,36.02552,-99.49712
5,KW_P-citrina_CH281-24_S40,0.104271,0.000206906,-0.027989,0.132679,-0.0509911,0.00950865,-0.00384522,0.00522849,0.0049482,0.0661092,-0.00246859,-0.0068585,0.0144644,0.0299374,0.0144981,-0.0233494,-0.0136275,0.106217,-0.0813181,-0.00974748,C,Purp,Cit_Purp,CH281,C,C,32.95422,-98.06388
6,KW_P-citrina_CHCL-16_S43,0.0818537,0.020363,0.0264474,0.170221,-0.0563551,-0.0241756,0.0352029,0.0585337,0.0550677,0.0888723,0.0585158,0.0432132,-0.0794162,-0.121785,0.0209775,-0.0654306,-0.112785,-0.0952806,0.171237,0.136637,C,Purp,Cit_Purp,CHCL,C,C,31.84946,-99.58669
7,KW_P-citrina_CLA-30_S37,0.0900608,0.0155149,-0.0124767,0.253461,-0.11253,-0.0014236,0.0220083,0.0313708,0.0498698,0.119302,-0.0128681,0.0136638,-0.0200582,0.00751418,-0.0380395,-0.0278322,-0.0486846,-0.0123241,-0.0438431,0.0353902,C,Purp,Cit_Purp,CLA,C,C,33.75562,-98.3829
8,KW_P-citrina_CLA-5_S36,0.0961803,0.0227449,-0.0121448,0.303045,-0.119172,-0.0100566,0.0153573,0.0252636,0.0720275,0.134865,-0.019062,0.00969677,-0.039662,-0.00250541,-0.0303692,-0.0350014,-0.0582833,0.00586759,-0.0687892,0.0412333,C,Purp,Cit_Purp,CLA,C,C,33.75562,-98.3829
9,KW_P-citrina_CLP-1_S44,0.0765809,0.0323951,0.0109547,0.143754,-0.0613862,-0.00668147,0.044186,0.0158558,0.04692,0.00978239,0.02855,0.042298,0.0276056,-0.0407954,-0.034115,0.00211099,-0.0430212,-0.123941,0.13357,0.118328,C,Purp,Cit_Purp,CLP,C,C,31.84946,-99.58669
10,KW_P-citrina_CMSC-20_S34,0.0491211,0.0201468,-0.0142348,0.254495,-0.0991736,-0.00382826,0.021287,0.0441348,0.0510507,0.0548816,-0.044123,0.0756734,0.0317884,0.0502592,0.0447397,-0.0669278,0.0744524,-0.0318617,-0.282774,-0.00336394,C,Purp,Cit_Purp,CMSC,C,C,34.7308,-98.56952
11,KW_P-citrina_CMSC-25_S35,0.00941247,0.0167065,-0.00260096,0.196444,-0.0928711,0.0242072,0.00421014,0.019041,0.0397725,0.040924,-0.0360876,0.0415908,0.00525983,0.0151579,0.0290314,-0.0474348,0.0334202,-0.0437844,-0.129954,-0.031746,C,Purp,Cit_Purp,CMSC,C,C,34.7308,-98.56952
12,KW_P-citrina_CQL-13_S38,0.0702694,0.0137899,0.000233237,0.139508,-0.0726752,0.00465455,-0.0202285,-0.00150233,0.0148154,0.0709564,-0.0108567,-0.00867825,0.0109477,-0.0105475,-0.00243401,-0.0384635,0.00138357,-0.0069563,0.0153797,-0.0178026,C,Purp,Cit_Purp,CQL,C,C,33.20647,-98.15727
13,KW_P-citrina_CQL-20_S39,0.0740703,0.00614046,-0.00338882,0.124213,-0.0457697,-0.0111773,0.000843788,0.0145999,0.00384206,0.0772275,-0.0127674,-0.000596079,-0.00687563,0.00605637,-0.0174888,-0.0385531,-0.0282232,-0.0176094,-0.00500212,-0.012097,C,Purp,Cit_Purp,CQL,C,C,33.20647,-98.15727
